font_name,accuracy,font_size,vox_atypl,underlined,bold
DeRoos,97.82%,12,humanistic,False,False
DeRoos,97.20%,14,humanistic,False,False
DeRoos,95.02%,16,humanistic,False,False
DeRoos,96.88%,18,humanistic,False,False
DeRoos,96.57%,20,humanistic,False,False
DeRoos,96.26%,22,humanistic,False,False
DeRoos,96.88%,24,humanistic,False,False
DeRoos,95.95%,26,humanistic,False,False
DeRoos,95.95%,28,humanistic,False,False
DeRoos,96.26%,30,humanistic,False,False
DeRoos,96.26%,32,humanistic,False,False
DeRoos,95.95%,34,humanistic,False,False
perpetua,21.50%,10,humanistic,False,False
perpetua,19.94%,12,humanistic,False,False
perpetua,19.94%,14,humanistic,False,False
perpetua,19.63%,16,humanistic,False,False
perpetua,19.31%,18,humanistic,False,False
perpetua,19.31%,20,humanistic,False,False
perpetua,19.00%,22,humanistic,False,False
perpetua,19.94%,24,humanistic,False,False
perpetua,18.38%,26,humanistic,False,False
perpetua,17.45%,28,humanistic,False,False
perpetua,18.38%,30,humanistic,False,False
perpetua,18.07%,32,humanistic,False,False
perpetua,19.00%,34,humanistic,False,False
Albertus Medium Regular,96.57%,10,incised,True,False
Albertus Medium Regular,97.20%,12,incised,True,False
Albertus Medium Regular,97.51%,14,incised,True,False
Albertus Medium Regular,96.88%,16,incised,True,False
Albertus Medium Regular,96.57%,18,incised,True,False
Albertus Medium Regular,96.26%,20,incised,True,False
Albertus Medium Regular,96.26%,22,incised,True,False
Albertus Medium Regular,95.95%,24,incised,True,False
Albertus Medium Regular,97.82%,26,incised,True,False
Albertus Medium Regular,95.95%,28,incised,True,False
Albertus Medium Regular,95.95%,30,incised,True,False
Albertus Medium Regular,96.26%,32,incised,True,False
Albertus Medium Regular,95.33%,34,incised,True,False
mercurius,97.20%,10,incised,True,False
mercurius,97.20%,12,incised,True,False
mercurius,97.51%,14,incised,True,False
mercurius,96.57%,16,incised,True,False
mercurius,96.57%,18,incised,True,False
mercurius,96.26%,20,incised,True,False
mercurius,95.95%,22,incised,True,False
mercurius,95.95%,24,incised,True,False
mercurius,96.26%,26,incised,True,False
mercurius,95.95%,28,incised,True,False
mercurius,95.95%,30,incised,True,False
mercurius,95.33%,32,incised,True,False
mercurius,94.70%,34,incised,True,False
OPTIMA,97.82%,10,incised,True,False
OPTIMA,97.20%,12,incised,True,False
OPTIMA,97.51%,14,incised,True,False
OPTIMA,96.88%,16,incised,True,False
OPTIMA,96.57%,18,incised,True,False
OPTIMA,96.88%,20,incised,True,False
OPTIMA,95.95%,22,incised,True,False
OPTIMA,95.95%,24,incised,True,False
OPTIMA,96.26%,26,incised,True,False
OPTIMA,95.95%,28,incised,True,False
OPTIMA,95.95%,30,incised,True,False
OPTIMA,96.26%,32,incised,True,False
OPTIMA,95.33%,34,incised,True,False
Albertus Medium Regular,96.57%,10,incised,False,False
Albertus Medium Regular,97.20%,12,incised,False,False
Albertus Medium Regular,97.20%,14,incised,False,False
Albertus Medium Regular,96.88%,16,incised,False,False
Albertus Medium Regular,96.57%,18,incised,False,False
Albertus Medium Regular,96.26%,20,incised,False,False
Albertus Medium Regular,96.26%,22,incised,False,False
Albertus Medium Regular,95.95%,24,incised,False,False
Albertus Medium Regular,97.82%,26,incised,False,False
Albertus Medium Regular,95.95%,28,incised,False,False
Albertus Medium Regular,95.95%,30,incised,False,False
Albertus Medium Regular,96.26%,32,incised,False,False
Albertus Medium Regular,95.33%,34,incised,False,False
mercurius,97.20%,10,incised,False,False
mercurius,97.20%,12,incised,False,False
mercurius,97.51%,14,incised,False,False
mercurius,96.57%,16,incised,False,False
mercurius,96.57%,18,incised,False,False
mercurius,96.26%,20,incised,False,False
mercurius,95.95%,22,incised,False,False
mercurius,95.95%,24,incised,False,False
mercurius,95.33%,26,incised,False,False
mercurius,95.95%,28,incised,False,False
mercurius,95.95%,30,incised,False,False
mercurius,95.33%,32,incised,False,False
mercurius,94.70%,34,incised,False,False
OPTIMA,97.82%,10,incised,False,False
OPTIMA,97.20%,12,incised,False,False
OPTIMA,97.51%,14,incised,False,False
OPTIMA,96.88%,16,incised,False,False
OPTIMA,96.57%,18,incised,False,False
OPTIMA,96.88%,20,incised,False,False
OPTIMA,95.64%,22,incised,False,False
OPTIMA,95.95%,24,incised,False,False
OPTIMA,95.95%,26,incised,False,False
OPTIMA,95.95%,28,incised,False,False
OPTIMA,95.95%,30,incised,False,False
OPTIMA,96.26%,32,incised,False,False
OPTIMA,95.33%,34,incised,False,False
City Medium,97.51%,10,lineal,True,False
City Medium,97.20%,12,lineal,True,False
City Medium,97.20%,14,lineal,True,False
City Medium,96.88%,16,lineal,True,False
City Medium,97.20%,18,lineal,True,False
City Medium,96.57%,20,lineal,True,False
City Medium,96.88%,22,lineal,True,False
City Medium,96.26%,24,lineal,True,False
City Medium,95.33%,26,lineal,True,False
City Medium,96.26%,28,lineal,True,False
City Medium,95.95%,30,lineal,True,False
City Medium,95.95%,32,lineal,True,False
City Medium,95.95%,34,lineal,True,False
FUTURA55REGULAR,75.70%,10,lineal,True,False
FUTURA55REGULAR,97.20%,12,lineal,True,False
FUTURA55REGULAR,97.20%,14,lineal,True,False
FUTURA55REGULAR,97.51%,16,lineal,True,False
FUTURA55REGULAR,96.88%,18,lineal,True,False
FUTURA55REGULAR,96.57%,20,lineal,True,False
FUTURA55REGULAR,96.88%,22,lineal,True,False
FUTURA55REGULAR,96.26%,24,lineal,True,False
FUTURA55REGULAR,95.33%,26,lineal,True,False
FUTURA55REGULAR,95.95%,28,lineal,True,False
FUTURA55REGULAR,96.26%,30,lineal,True,False
FUTURA55REGULAR,95.95%,32,lineal,True,False
FUTURA55REGULAR,95.64%,34,lineal,True,False
peignot,85.05%,10,lineal,True,False
peignot,64.80%,12,lineal,True,False
peignot,80.37%,14,lineal,True,False
peignot,75.08%,16,lineal,True,False
peignot,81.31%,18,lineal,True,False
peignot,67.60%,20,lineal,True,False
peignot,75.08%,22,lineal,True,False
peignot,62.93%,24,lineal,True,False
peignot,63.24%,26,lineal,True,False
peignot,71.96%,28,lineal,True,False
peignot,56.39%,30,lineal,True,False
peignot,55.14%,32,lineal,True,False
peignot,67.91%,34,lineal,True,False
City Medium,97.51%,10,lineal,False,False
City Medium,97.20%,12,lineal,False,False
City Medium,97.20%,14,lineal,False,False
City Medium,96.88%,16,lineal,False,False
City Medium,97.20%,18,lineal,False,False
City Medium,96.57%,20,lineal,False,False
City Medium,96.88%,22,lineal,False,False
City Medium,96.26%,24,lineal,False,False
City Medium,95.95%,26,lineal,False,False
City Medium,96.26%,28,lineal,False,False
City Medium,95.95%,30,lineal,False,False
City Medium,95.95%,32,lineal,False,False
City Medium,95.95%,34,lineal,False,False
FUTURA55REGULAR,97.20%,10,lineal,False,False
FUTURA55REGULAR,94.70%,12,lineal,False,False
FUTURA55REGULAR,89.10%,14,lineal,False,False
FUTURA55REGULAR,97.51%,16,lineal,False,False
FUTURA55REGULAR,96.88%,18,lineal,False,False
FUTURA55REGULAR,96.57%,20,lineal,False,False
FUTURA55REGULAR,96.88%,22,lineal,False,False
