font_name,accuracy,font_size,vox_atypl,underlined,bold
Rockwell-Bold,96.57%,10,mechanistic,True,False
Clarendon-Regular,94.08%,28,mechanistic,False,False
CENTURY,95.95%,16,mechanistic,False,False
Clarendon-Regular,92.52%,30,mechanistic,True,False
Clarendon-Regular,96.88%,12,mechanistic,True,False
Rockwell,93.46%,34,mechanistic,False,False
CENTURY,94.08%,24,mechanistic,True,False
City Medium,96.26%,22,mechanistic,False,False
Rockwell,96.57%,12,mechanistic,False,False
Rockwell,94.08%,24,mechanistic,True,False
Rockwell,94.08%,28,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.02%,24,mechanistic,True,False
City Medium,94.08%,22,mechanistic,True,False
Clarendon-Regular,92.83%,34,mechanistic,True,False
CENTURY,94.39%,28,mechanistic,True,False
Rockwell-Bold,96.57%,10,mechanistic,False,True
Rockwell-Bold,96.88%,12,mechanistic,False,True
Rockwell,95.95%,16,mechanistic,False,False
City Medium,96.57%,12,mechanistic,True,False
Clarendon-Regular,95.02%,18,mechanistic,True,False
Caslon Ionic Web Regular Regular,96.88%,12,mechanistic,False,False
CENTURY,96.26%,14,mechanistic,False,False
CENTURY,96.57%,12,mechanistic,True,False
CENTURY,95.02%,30,mechanistic,True,False
City Medium,96.88%,10,mechanistic,False,False
Rockwell,95.33%,28,mechanistic,False,False
City Medium,94.70%,20,mechanistic,True,False
Rockwell-Bold,96.26%,14,mechanistic,True,False
Rockwell-Bold,95.64%,24,mechanistic,False,True
CENTURY,95.02%,18,mechanistic,False,False
Rockwell,95.95%,14,mechanistic,True,False
CENTURY,94.39%,18,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.33%,18,mechanistic,True,False
Caslon Ionic Web Regular Regular,92.52%,30,mechanistic,True,False
Clarendon-Regular,95.64%,10,mechanistic,True,False
Clarendon-Regular,95.64%,16,mechanistic,True,False
CENTURY,93.46%,26,mechanistic,True,False
City Medium,95.33%,34,mechanistic,False,False
Rockwell,95.02%,26,mechanistic,False,False
City Medium,96.57%,14,mechanistic,False,False
CENTURY,95.02%,20,mechanistic,True,False
Clarendon-Regular,91.90%,32,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.33%,16,mechanistic,False,False
CENTURY,96.26%,10,mechanistic,True,False
Rockwell,96.57%,12,mechanistic,True,False
Rockwell-Bold,95.33%,28,mechanistic,False,True
Clarendon-Regular,95.33%,18,mechanistic,False,False
Rockwell-Bold,96.26%,14,mechanistic,False,True
CENTURY,95.64%,24,mechanistic,False,False
Clarendon-Regular,94.70%,26,mechanistic,False,False
Rockwell,95.95%,14,mechanistic,False,False
Rockwell,93.15%,34,mechanistic,True,False
Caslon Ionic Web Regular Regular,93.77%,28,mechanistic,True,False
Clarendon-Regular,95.33%,20,mechanistic,False,False
Clarendon-Regular,95.02%,24,mechanistic,False,False
Clarendon-Regular,94.70%,24,mechanistic,True,False
CENTURY,92.83%,34,mechanistic,True,False
Rockwell-Bold,93.15%,32,mechanistic,False,True
Caslon Ionic Web Regular Regular,95.33%,20,mechanistic,False,False
City Medium,96.57%,12,mechanistic,False,False
Rockwell-Bold,93.15%,30,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.02%,20,mechanistic,True,False
Rockwell-Bold,93.77%,20,mechanistic,True,False
Caslon Ionic Web Regular Regular,96.26%,10,mechanistic,False,False
Caslon Ionic Web Regular Regular,95.02%,24,mechanistic,False,False
Clarendon-Regular,93.46%,28,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.33%,22,mechanistic,False,False
Clarendon-Regular,95.64%,14,mechanistic,True,False
Rockwell-Bold,94.70%,26,mechanistic,True,False
Rockwell-Bold,95.02%,16,mechanistic,True,False
Rockwell-Bold,94.08%,30,mechanistic,False,True
City Medium,94.70%,18,mechanistic,True,False
Rockwell,95.64%,24,mechanistic,False,False
Rockwell,95.02%,18,mechanistic,True,False
Caslon Ionic Web Regular Regular,94.70%,26,mechanistic,True,False
CENTURY,93.77%,32,mechanistic,False,False
Rockwell-Bold,95.02%,18,mechanistic,True,False
Rockwell-Bold,92.83%,32,mechanistic,True,False
Rockwell-Bold,95.02%,18,mechanistic,False,True
City Medium,93.46%,28,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.64%,18,mechanistic,False,False
Rockwell,95.64%,18,mechanistic,False,False
Caslon Ionic Web Regular Regular,95.33%,22,mechanistic,True,False
Caslon Ionic Web Regular Regular,96.88%,12,mechanistic,True,False
Rockwell,93.77%,30,mechanistic,True,False
Rockwell,95.33%,22,mechanistic,False,False
CENTURY,94.70%,30,mechanistic,False,False
Rockwell-Bold,95.64%,24,mechanistic,True,False
City Medium,96.57%,14,mechanistic,True,False
CENTURY,94.70%,16,mechanistic,True,False
CENTURY,96.57%,12,mechanistic,False,False
City Medium,95.33%,20,mechanistic,False,False
Rockwell-Bold,93.46%,34,mechanistic,False,True
City Medium,96.26%,16,mechanistic,False,False
City Medium,95.02%,30,mechanistic,False,False
CENTURY,93.77%,22,mechanistic,True,False
CENTURY,95.33%,20,mechanistic,False,False
Caslon Ionic Web Regular Regular,95.64%,26,mechanistic,False,False
Rockwell-Bold,96.57%,12,mechanistic,True,False
City Medium,94.08%,30,mechanistic,True,False
Clarendon-Regular,95.95%,16,mechanistic,False,False
Rockwell,95.33%,30,mechanistic,False,False
City Medium,95.64%,10,mechanistic,True,False
Clarendon-Regular,95.02%,22,mechanistic,True,False
Clarendon-Regular,93.77%,34,mechanistic,False,False
Caslon Ionic Web Regular Regular,95.64%,10,mechanistic,True,False
City Medium,96.57%,18,mechanistic,False,False
Caslon Ionic Web Regular Regular,94.39%,28,mechanistic,False,False
Rockwell,95.64%,20,mechanistic,False,False
